Project,Language,Identifier Type,Identifier Name,Length,MC
synthetic-bad,C#,class,sa3esae,7,1
synthetic-bad,Python,function,VpPLeOq,7,1
synthetic-bad,Python,class,rbaLusY,7,1
synthetic-bad,JavaScript,function,MRxORIppS,9,0.75
synthetic-bad,C#,class,OzFojND,7,1
synthetic-bad,JavaScript,variable,result2,7,0.85
synthetic-bad,Python,function,osai0ii,7,0.75
synthetic-bad,Python,variable,eHEsoULA,8,0.85
synthetic-bad,JavaScript,variable,ZYUCOmU,7,0.85
synthetic-bad,C#,variable,AnheIQedW,9,1
synthetic-bad,C#,variable,aae1155o,8,0.65
synthetic-bad,JavaScript,class,PIuLJipAlIgzhD,14,1
synthetic-bad,Java,class,oTlJeeI,7,0.9
synthetic-bad,C#,class,mTwUUDsPR,9,0.9
synthetic-bad,Java,class,gcEdeAFUgP,10,1
synthetic-bad,JavaScript,function,ZPAiIxmO,8,0.85
synthetic-bad,JavaScript,variable,OgpmaeE,7,0.85
synthetic-bad,C#,variable,YrCAEirRHn,10,0.85
synthetic-bad,Python,function,aoae33o,7,0.75
synthetic-bad,Python,function,XPOkDURn,8,0.85
synthetic-bad,C#,class,ruDpJIc,7,1
synthetic-bad,Java,variable,UjWehqUIALmeQ,13,0.85
synthetic-bad,JavaScript,variable,WoVIuItrUl,10,0.85
synthetic-bad,Python,function,tXElbECCpPu,11,0.85
synthetic-bad,Python,function,e5444iie,8,0.65
synthetic-bad,JavaScript,class,cbifSgKe,8,1
synthetic-bad,Python,variable,gAOiMAbaRQbidepm,16,0.75
synthetic-bad,Python,variable,jHKFUSTSUFG,11,0.75
synthetic-bad,Java,class,ee15sss,7,0.8
synthetic-bad,Java,class,RemTEDepXRG,11,1
synthetic-bad,C#,class,dzEDBINLi,9,1
synthetic-bad,JavaScript,class,FCEtneyVP,9,1
synthetic-bad,C#,function,hquaWOoMyrV,11,0.85
synthetic-bad,JavaScript,function,dQKwaTi,7,0.85
synthetic-bad,C#,class,bfSNIEtzqAfA,12,1
synthetic-bad,JavaScript,class,HYoCfao,7,1
synthetic-bad,Python,function,qSnteJagrsyavP,14,0.9
synthetic-bad,JavaScript,variable,s311sie,7,0.75
synthetic-bad,Python,function,hsEmdNPoPnf,11,0.85
synthetic-bad,Python,variable,ZRurdvEA,8,1
synthetic-bad,JavaScript,class,saoeos1e,8,1
synthetic-bad,Java,variable,i444iois,8,0.75
synthetic-bad,JavaScript,function,e4555aao,8,0.65
synthetic-bad,C#,class,qxPOBoA,7,1
synthetic-bad,JavaScript,variable,a3113is,7,0.75
synthetic-bad,JavaScript,class,uvYAdAGMP,9,1
synthetic-bad,Python,function,EhfiDAHAw,9,0.85
synthetic-bad,JavaScript,variable,s1ieaii,7,0.75
synthetic-bad,JavaScript,variable,bYidjeU,7,0.85
synthetic-bad,JavaScript,function,result1,7,1
synthetic-bad,JavaScript,function,so0304so,8,0.75
synthetic-bad,Python,variable,DeFXlumbCR,10,1
synthetic-bad,JavaScript,function,FJfYuILcERmCL,13,0.85
synthetic-bad,JavaScript,class,hEeaViedjjj,11,0.8
synthetic-bad,Java,function,elBAgzT,7,0.85
synthetic-bad,JavaScript,class,WdssEdHe,8,0.9
synthetic-bad,JavaScript,class,acUEnkEV,8,1
synthetic-bad,C#,class,okziwzN,7,1
synthetic-bad,Python,function,WxeRvAYMr,9,0.85
synthetic-bad,C#,function,XuBURArILUloMB,14,0.85
synthetic-bad,Java,function,qrwekLyFUh,10,0.85
synthetic-bad,Python,function,uDVkoryw,8,0.85
synthetic-bad,C#,variable,btKWANRhI,9,1
synthetic-bad,C#,function,lSyRabEOoNMFH,13,0.85
synthetic-bad,C#,variable,se34iisi,8,0.75
synthetic-bad,JavaScript,variable,ea534ais,8,0.85
synthetic-bad,Python,variable,usiOInmXuw,10,0.85
synthetic-bad,Python,variable,AraBGEmkFy,10,0.85
synthetic-bad,Python,class,yepBrItSwCUH,12,1
synthetic-bad,JavaScript,variable,stoWDiinZEnGYN,14,0.9
synthetic-bad,C#,function,enKORSA,7,1
synthetic-bad,Java,class,ioai15e,7,1
synthetic-bad,C#,variable,UJeELiOKnAS,11,0.85
synthetic-bad,JavaScript,class,hMUDosCdOSPq,12,1
synthetic-bad,C#,function,EbwjuXonEChSa,13,0.85
synthetic-bad,Java,class,e533011e,8,0.8
synthetic-bad,JavaScript,class,hEArKboQFesR,12,1
synthetic-bad,JavaScript,variable,wEiNfFIwupgAHaNK,16,0.85
synthetic-bad,C#,function,e04iasos,8,0.85
synthetic-bad,C#,class,e0334ioa,8,0.9
synthetic-bad,C#,variable,yorGbrOttmpAgH,14,0.9
synthetic-bad,C#,class,pSIGUVFU,8,0.9
synthetic-bad,C#,variable,ntotnegfkoOmSzeA,16,0.75
synthetic-bad,Python,function,AQaWYgs,7,0.85
synthetic-bad,Python,variable,LhEPLeIwToEg,12,0.85
synthetic-bad,C#,function,ouZGnUd,7,0.85
synthetic-bad,C#,variable,kuEcCiRd,8,0.85
synthetic-bad,C#,function,EJuDNGFATV,10,0.75
synthetic-bad,C#,variable,seiie4i,7,0.75
synthetic-bad,Java,function,StLIbREmXotr,12,0.85
synthetic-bad,C#,class,zZeHooVN,8,0.9
synthetic-bad,Python,variable,is45453a,8,0.85
synthetic-bad,Python,function,zMbaGonKR,9,0.85
synthetic-bad,Java,variable,uoohOyyiEx,10,0.8
synthetic-bad,Java,variable,TwamKHRiYsatINE,15,0.85
synthetic-bad,JavaScript,class,BAIiUASYg,9,1
synthetic-bad,JavaScript,variable,osiii3i,7,0.75
synthetic-bad,Java,class,fhEAUxSIfuo,11,1
synthetic-bad,Java,function,rUqIlieonwBEr,13,0.9
synthetic-bad,C#,class,s43433ei,8,0.9
synthetic-bad,JavaScript,variable,VTousIF,7,1
synthetic-bad,C#,class,s344aee,7,0.8
synthetic-bad,JavaScript,class,nOONVbm,7,0.9
synthetic-bad,JavaScript,variable,iaYSKAl,7,0.85
synthetic-bad,Python,variable,AUsYdiZk,8,0.85
synthetic-bad,JavaScript,variable,NjUKmmOTaRveDIrP,16,0.9
synthetic-bad,Python,variable,LAYsUVA,7,0.85
synthetic-bad,Python,function,MlYCIIXEsdM,11,0.75
synthetic-bad,C#,class,eYfIlLGOWORS,12,0.9
synthetic-bad,C#,class,lYJIpArpwuf,11,1
synthetic-bad,Python,variable,mOWaXtYreNAHYUiU,16,0.85
synthetic-bad,C#,variable,RgfEStUHOdQi,12,0.85
synthetic-bad,Python,function,utoaHGp,7,0.85
synthetic-bad,JavaScript,variable,nbeVeJeV,8,1
synthetic-bad,Java,class,YTuKEkbo,8,1
synthetic-bad,C#,function,ehZfeEexs,9,0.85
synthetic-bad,Java,class,azdGdiCeFAbWb,13,1
synthetic-bad,Java,class,ylOfArO,7,1
synthetic-bad,Python,class,i0140eae,8,1
synthetic-bad,Python,variable,DuSudRhE,8,0.85
synthetic-bad,JavaScript,function,rQydIRpExB,10,1
synthetic-bad,JavaScript,class,saii44s,7,0.8
synthetic-bad,JavaScript,function,e054eso,7,0.85
synthetic-bad,Java,function,CvkingjEnlGEyxWZ,16,0.75
synthetic-bad,C#,class,wcUkoBL,7,1
synthetic-bad,C#,function,nSTrAAg,7,0.85
synthetic-bad,C#,function,FspomoaFYv,10,0.75
synthetic-bad,JavaScript,variable,NDogBuMJjz,10,0.85
synthetic-bad,C#,function,saGEOSpOvvMOgd,14,0.75
synthetic-bad,Java,class,se555oaa,8,0.8
synthetic-bad,JavaScript,function,ZagMuFK,7,0.85
synthetic-bad,JavaScript,class,aa54seaa,8,0.8
synthetic-bad,Java,class,UFbrLIpx,8,1
synthetic-bad,Java,variable,naorIcUUC,9,0.9
synthetic-bad,Python,function,NVDESxfWaL,10,0.85
synthetic-bad,Python,class,RDrayXORYMIDUd,14,0.9
synthetic-bad,C#,variable,o003oie,7,0.75
synthetic-bad,C#,variable,OnLOAIDG,8,0.85
synthetic-bad,Python,variable,lUPHaesoq,9,1
synthetic-bad,JavaScript,class,i5044so,7,0.9
synthetic-bad,C#,variable,esise0ie,8,1
synthetic-bad,Java,variable,UzabtcoTa,9,0.75
synthetic-bad,Python,variable,QanaDVYat,9,0.85
synthetic-bad,Java,class,ei400ea,7,0.9
synthetic-bad,JavaScript,class,iGtOHYc,7,1
synthetic-bad,Java,function,eteedwAWHpTU,12,0.75
synthetic-bad,C#,variable,inKoBePNoA,10,0.85
synthetic-bad,JavaScript,class,zmEDeItO,8,1
synthetic-bad,C#,class,obekAKDq,8,1
synthetic-bad,JavaScript,function,oXiathQuDm,10,0.85
synthetic-bad,Java,variable,hUYAAWi,7,0.75
synthetic-bad,C#,function,o0050iie,8,0.65
synthetic-bad,JavaScript,function,fmJTioT,7,0.85
synthetic-bad,Java,class,seo0444,7,0.9
synthetic-bad,C#,class,yOULthuZN,9,1
synthetic-bad,C#,variable,kHUDorx,7,0.85
synthetic-bad,JavaScript,variable,LXewQalLAnnL,12,0.8
synthetic-bad,Python,variable,mVMALRirdpM,11,0.85
synthetic-bad,JavaScript,variable,EFpWXEwaChUsho,14,1
synthetic-bad,Python,variable,qxwINELdoFf,11,0.85
synthetic-bad,JavaScript,variable,ee13esis,8,0.75
synthetic-bad,Python,function,esi043o,7,0.85
synthetic-bad,Python,function,PABjUstu,8,0.85
synthetic-bad,Java,class,AVaetHeSIvrB,12,1
synthetic-bad,C#,function,tFIEbYm,7,0.85
synthetic-bad,Python,variable,iZqRudR,7,0.85
synthetic-bad,Python,class,ssiiia1s,8,0.9
synthetic-bad,Python,class,OvzRBAbAjDt,11,1
synthetic-bad,Java,variable,e5533es,7,0.75
synthetic-bad,Java,class,FOnaDLPa,8,1
synthetic-bad,Python,variable,UdDIzUV,7,0.85
synthetic-bad,JavaScript,function,aXWaIbSVERKAUXX,15,0.65
synthetic-bad,Python,variable,dBFAaFiCASaay,13,0.75
synthetic-bad,Python,function,uRzevmn,7,0.85
synthetic-bad,C#,variable,aaa3355,7,0.8
synthetic-bad,Python,class,OWaiMAwub,9,1
synthetic-bad,C#,class,axVeHwS,7,1
synthetic-bad,JavaScript,variable,i1osoisi,8,0.85
synthetic-bad,C#,function,plXxuQGREgEDut,14,0.85
synthetic-bad,Python,class,mydIewFO,8,1
synthetic-bad,Java,class,chUTrik,7,1
synthetic-bad,Java,function,aoaasa4i,8,0.75
synthetic-bad,C#,variable,tLdELKyO,8,0.85
synthetic-bad,Python,class,dMCitaCxc,9,1
synthetic-bad,Java,function,MBZFoUSB,8,0.85
synthetic-bad,C#,variable,AeSTUMp,7,0.85
synthetic-bad,JavaScript,function,WuRIeMfFa,9,0.85
synthetic-bad,JavaScript,function,kGoHACsA,8,0.85
synthetic-bad,Python,variable,ooea435o,8,0.75
synthetic-bad,Java,class,aa33040,7,0.8
synthetic-bad,C#,variable,kjrOsExRaNy,11,1
synthetic-bad,JavaScript,function,JavZenEI,8,0.85
synthetic-bad,JavaScript,variable,ANYPENknkIsGOX,14,1
synthetic-bad,Java,function,sRIOOKGSBa,10,0.65
synthetic-bad,Java,function,ie333os,7,0.75
synthetic-bad,C#,variable,rHSmAmjar,9,0.85
synthetic-bad,Java,variable,bctoUDpl,8,0.85
synthetic-bad,C#,class,so1iisai,8,0.9
synthetic-bad,Java,variable,eeos05s,7,0.9
synthetic-bad,Java,function,DutSasOnjY,10,0.85
synthetic-bad,Python,variable,QUsDrNid,8,1
synthetic-bad,Java,function,HLsILLiLtuA,11,0.85
synthetic-bad,C#,variable,MaILcJoYsnazuA,14,0.85
synthetic-bad,Java,function,wDIDNEU,7,0.85
synthetic-bad,JavaScript,class,OOECGoMIRKF,11,0.9
synthetic-bad,Python,class,LnEtpjiTQG,10,1
synthetic-bad,C#,function,bLEbMIjrsA,10,0.85
synthetic-bad,Java,function,kSAKNAIcsPV,11,0.85
synthetic-bad,Python,variable,HYIRtNNEeLL,11,0.65
synthetic-bad,JavaScript,function,zEyeamYjv,9,0.85
synthetic-bad,C#,variable,KKmdedOdPD,10,1
synthetic-bad,Python,function,JMenPTaRitzkEC,14,0.85
synthetic-bad,JavaScript,class,isi40ee,7,0.9
synthetic-bad,C#,class,MAnjoCSOM,9,1
synthetic-bad,C#,function,pOXRCTiLriF,11,0.85
synthetic-bad,Java,class,ZkyaUnCePCJJ,12,0.9
synthetic-bad,Python,function,GyaTFiArL,9,0.85
synthetic-bad,C#,function,sqOUcry,7,0.85
synthetic-bad,Python,function,qTHASMDeBs,10,1
synthetic-bad,JavaScript,function,eLsheQlmlEoPj,13,0.85
synthetic-bad,Java,function,pUNHOLyIKsp,11,0.85
synthetic-bad,Java,variable,apciexdO,8,0.75
synthetic-bad,Java,class,i43145i,7,0.9
synthetic-bad,Python,variable,lZeETVeNDL,10,1
synthetic-bad,Python,class,EFevSMmAEtoJ,12,1
synthetic-bad,Python,function,GGmeEBoAFcu,11,0.85
synthetic-bad,Java,class,kqaWaMs,7,1
synthetic-bad,Python,class,si41asi,7,1
synthetic-bad,Java,class,NDJVISIiQf,10,1
synthetic-bad,JavaScript,class,eoiei3s,7,1
synthetic-bad,C#,function,vncVuRePIaa,11,0.75
synthetic-bad,C#,function,GrirAcJLelongkuo,16,0.75
synthetic-bad,Java,function,NTxXuOH,7,0.85
synthetic-bad,Python,variable,NNYdOpwO,8,0.75
synthetic-bad,JavaScript,class,gSOpNESUQqm,11,1
synthetic-bad,Python,class,KycceElTs,9,0.9
synthetic-bad,Python,class,UJeyOtEtL,9,1
synthetic-bad,JavaScript,function,CTcruipeLw,10,0.75
synthetic-bad,JavaScript,function,kUxCsWIS,8,0.85
synthetic-bad,C#,variable,QMweDECtV,9,1
synthetic-bad,C#,function,YGCUIPRaumW,11,0.85
synthetic-bad,JavaScript,function,WuIePMt,7,0.85
synthetic-bad,Python,class,qnIVehCe,8,1
synthetic-bad,Python,function,os155es,7,0.75
synthetic-bad,JavaScript,class,NasAiRCkZ,9,1
synthetic-bad,Python,class,kuptgDe,7,1
synthetic-bad,Java,class,rLRDIGEciF,10,1
synthetic-bad,Java,variable,e544ieee,8,0.65
synthetic-bad,C#,variable,i14iieao,8,0.75
synthetic-bad,JavaScript,class,MdEsyguUEdn,11,1
synthetic-bad,C#,class,i450osoa,8,1
synthetic-bad,Python,class,aa0135e,7,0.9
synthetic-bad,JavaScript,function,JhIeRCEPTecMuO,14,0.85
synthetic-bad,Python,function,RuDolOotI,9,1
synthetic-bad,C#,class,eEkaCyaathHa,12,0.9
synthetic-bad,Java,class,BtnAfcOMpuF,11,1
synthetic-bad,Java,class,PyHansFiUwlO,12,1
synthetic-bad,Java,variable,CyPRoWmyiKZJ,12,0.85
synthetic-bad,Python,variable,AnusAkU,7,1
synthetic-bad,JavaScript,class,iaee55ie,8,0.8
synthetic-bad,Java,variable,a14010o,7,0.85
synthetic-bad,Java,variable,oapCGEKo,8,0.85
synthetic-bad,JavaScript,function,WegqNfeVeXE,11,0.85
synthetic-bad,Python,function,cECyDAOC,8,0.85
synthetic-bad,C#,function,e04303o,7,0.85
synthetic-bad,JavaScript,variable,luudiBK,7,0.75
synthetic-bad,Python,function,eapuGvR,7,0.85
synthetic-bad,C#,function,iesoei3s,8,0.85
synthetic-bad,C#,class,o05ieai,7,1
synthetic-bad,Java,class,OJAewcoIEelpS,13,1
synthetic-bad,JavaScript,function,IIANZdfAfxOr,12,0.75
synthetic-bad,C#,function,so003is,7,0.75
synthetic-bad,JavaScript,variable,o1easisa,8,0.85
synthetic-bad,Java,variable,oaeo54ss,8,0.75
synthetic-bad,Java,class,hIvwNDE,7,1
synthetic-bad,Java,function,es540iio,8,0.75
synthetic-bad,Python,class,MLaAgPRovMIvclI,15,0.9
synthetic-bad,C#,variable,RVcnoRIbff,10,0.8
synthetic-bad,JavaScript,function,ooa40as,7,0.75
synthetic-bad,JavaScript,function,NIaCPufG,8,0.85
synthetic-bad,C#,class,s110ieso,8,0.9
synthetic-bad,Java,function,PsiiOgsH,8,0.75
synthetic-bad,JavaScript,variable,PbtLOPSsoWoytQ,14,0.85
synthetic-bad,C#,function,dWbGObliDc,10,0.85
synthetic-bad,Python,function,MFOIyYe,7,0.85
synthetic-bad,Java,function,ie3551e,7,0.75
synthetic-bad,JavaScript,class,EELYiXckeR,10,0.9
synthetic-bad,Python,variable,dgoAYff,7,0.9
synthetic-bad,Java,function,esii11i,7,0.65
synthetic-bad,Java,class,VHhAcozv,8,1
synthetic-bad,Python,variable,OpsEHot,7,0.85
synthetic-bad,Java,function,o35isas,7,0.85
synthetic-bad,Python,class,ZoRmHwUtbAC,11,1
synthetic-bad,JavaScript,function,DQpDiav,7,1
synthetic-bad,C#,variable,oos11oo,7,0.7
synthetic-bad,Java,variable,esssdEU,7,0.9
synthetic-bad,JavaScript,function,JijogsZ,7,0.85
synthetic-bad,Python,function,JNZbaENiORymL,13,0.85
synthetic-bad,C#,variable,tevfascTaSKMEWSS,16,0.55
synthetic-bad,Java,function,ess531as,8,0.75
synthetic-bad,JavaScript,variable,esao41a,7,0.85
synthetic-bad,Python,class,ZmgOybE,7,1
synthetic-bad,Java,class,lSTCoIE,7,1
synthetic-bad,Python,class,MHIEEBo,7,0.9
synthetic-bad,Java,class,nNPobmaE,8,1
synthetic-bad,JavaScript,function,TSfAOyNmB,9,0.85
synthetic-bad,Python,class,qSIdomgm,8,1
synthetic-bad,JavaScript,variable,KPwUpus,7,1
synthetic-bad,Python,class,UoyahFm,7,1
synthetic-bad,C#,class,KUnMxGeunp,10,1
synthetic-bad,Java,class,QPuppNUmGEUpj,13,0.9
synthetic-bad,Java,variable,XENCHMadeE,10,0.85
synthetic-bad,Python,variable,njiEYSsIW,9,0.85
synthetic-bad,JavaScript,class,KKDilEaEX,9,0.9
synthetic-bad,C#,class,aase403a,8,0.9
synthetic-bad,C#,variable,o3oseoao,8,0.85
synthetic-bad,JavaScript,variable,sai505a,7,0.85
synthetic-bad,Java,class,jWcHEOix,8,1
synthetic-bad,Python,variable,youAtZRU,8,0.85
synthetic-bad,JavaScript,variable,zirehBVp,8,0.85
synthetic-bad,C#,function,lCQofIg,7,0.85
synthetic-bad,Python,function,fZMEEova,8,0.85
synthetic-bad,C#,variable,meNGiQIrh,9,0.85
synthetic-bad,JavaScript,function,mUKdrowsB,9,1
synthetic-bad,Python,function,wlrehiaFgzEeEmEh,16,0.75
synthetic-bad,Java,function,oLIiill,7,0.75
synthetic-bad,Java,class,NlPaIMGnZ,9,1
synthetic-bad,Java,variable,IHiMoNWN,8,0.85
synthetic-bad,Python,variable,MTINAfaWZaYK,12,0.85
synthetic-bad,Java,function,ie011501,8,0.75
synthetic-bad,Python,function,oUhfSiL,7,0.85
synthetic-bad,Java,function,svjofEcOh,9,0.85
synthetic-bad,Python,function,yCcuIOpUPaol,12,0.85
synthetic-bad,Java,variable,TOnHGsI,7,1
synthetic-bad,JavaScript,variable,JbIReqToH,9,0.85
synthetic-bad,JavaScript,variable,s403ois,7,0.85
synthetic-bad,JavaScript,function,cKApkarSKIaiDK,14,0.85
synthetic-bad,C#,variable,AlHIfHU,7,0.85
synthetic-bad,Java,function,eaa5303i,8,0.75
synthetic-bad,C#,class,o53543i,7,1
synthetic-bad,C#,function,oaass04e,8,0.75
synthetic-bad,JavaScript,class,GtIgrAeCd,9,1
synthetic-bad,JavaScript,function,uEqjWParyRa,11,0.85
synthetic-bad,Java,function,see00is,7,0.8
synthetic-bad,JavaScript,variable,mzcfOUs,7,1
synthetic-bad,Python,class,ooziCkyB,8,0.9
synthetic-bad,Python,class,tEdoEusH,8,1
synthetic-bad,C#,class,rQPEeOPGLaU,11,1
synthetic-bad,Python,class,e305sea,7,1
synthetic-bad,Java,variable,wRgaUUfFsLUGz,13,0.85
synthetic-bad,JavaScript,variable,eIVITzu,7,0.85
synthetic-bad,Python,class,ENsMUNm,7,1
synthetic-bad,Python,class,nLakDkRE,8,1
synthetic-bad,JavaScript,class,eeoea43s,8,0.9
synthetic-bad,Python,function,hfABfiBilVw,11,1
synthetic-bad,C#,class,uZCAnhR,7,1
synthetic-bad,JavaScript,function,HOEoRUfO,8,0.85
synthetic-bad,JavaScript,function,bYFBasjenu,10,0.75
synthetic-bad,Java,variable,aOZaRlBM,8,0.85
synthetic-bad,Java,class,DaVPOvuC,8,1
synthetic-bad,Java,variable,xuLoSKmaYI,10,0.85
synthetic-bad,Java,variable,CWmuhNfULSFJ,12,1
synthetic-bad,JavaScript,function,a30014i,7,0.75
synthetic-bad,C#,class,TWftOBYAVIlobOCe,16,1
synthetic-bad,Python,variable,GVIaHOmpk,9,1
synthetic-bad,JavaScript,class,KCeXMOTw,8,1
synthetic-bad,C#,function,i5010os,7,0.85
synthetic-bad,JavaScript,class,roGELMipZB,10,1
synthetic-bad,JavaScript,function,VeteDniNy,9,0.85
synthetic-bad,C#,function,so0aoesi,8,0.85
synthetic-bad,C#,function,COGiGChtIDRiNcX,15,0.85
synthetic-bad,Java,class,mqNROtDBeRKLvaI,15,1
synthetic-bad,C#,class,ase331ai,8,0.9
synthetic-bad,Python,class,BBlOodGe,8,1
